id,does_the_excerpt_contain_a_prediction,does_the_excerpt_contain_a_prediction:confidence,sentence
937054866,yes,0.6319,"If the initial shock is perceived as permanent, this process should go all the way: the rise in US demand leads to an equal rise in interest rates around the world, and most of the demand shock is effectively diffused abroad."
937053576,yes,0.6698,"We might add further that if the Fed can neutralize the supposedly awesome inflationary effect of quantitative easing by paying ¼ percent interest on reserves, it should be very easy to contain the inflationary threat in future."
937052735,yes,0.6612,"And there’s more — for example, Ireland went abruptly from having a stable real exchange rate against the UK to having a stable rate against Germany when it joined the European exchange rate mechanism, etc.. Incidentally, I suspect that this evidence is one reason why international macro people have tended to stay more Keynesian than domestic macro people — why those of us who read Obstfeld and Rogoff knew that Ricardian equivalence didn’t imply ineffectual fiscal policy, while even Nobel laureates on the domestic macro side were getting it wrong."
937052275,yes,0.6569,"There were fears that the Latin debt crisis would take down one or more money center banks — Citi, or Chase, say."
937052796,yes,0.6708,"On this view, the fact that the Fed is currently buying some large fraction of debt issuance is irrelevant; interest rates are determined by the willingness at the margin of private investors to hold the existing stock of debt, regardless."
937052584,yes,0.6904,"In this world, we’ll assume that no real investment is possible, so that loans are made only to finance consumption in excess of income."
937052261,yes,0.6542,Mark Thoma and David Altig both react to Arthur Laffer’s assertion that the increase in the monetary base presages huge inflation.
937052462,yes,0.6344,"Second, we see that investment has, if anything, fallen LESS than you might have expected given the plunge in the economy."
937055307,yes,0.6768,"And the Fed is very much thinking about the example of Sweden, which decided to hike rates out of vague concerns about financial stability, only to find itself staring at the very real risk of deflation."
937052616,yes,1,And I believe that some day — maybe in the first Chelsea Clinton administration — it will actually happen.
937056402,yes,1,"But the bigger question is what happens a year or two after Grexit, where the real risk to the euro is not that Greece will fail but that it will succeed."
937056968,yes,0.6803,"And the response of some — only some — Sanders supporters is disappointing, although I guess predictable given that somewhat similar things happened during the 2008 primary."
937054106,yes,0.6892,"As Wren-Lewis likes to say, on this basis the ideal policy is to shut half the economy down for a while, then start it up again — that way you get 100 percent growth."
937056277,yes,0.6663,"And Brad argues that the changing structure of the economy will mean that we want more of these goods, hence bigger government."
937053286,yes,0.665,"Now Lazear informs us that sure enough, mismatch was cyclical, and has in fact come way down even though unemployment remains high: What all this tells us is that the vast suffering still going on is gratuitous — that we could end this quickly with appropriate monetary and fiscal policies."
937052136,yes,1,"Suppose that we’re looking at an economy that, absent stimulus, would have an average unemployment rate of 9 percent over the next two years; this plan would cut that to 7.3 percent, which would be a help but could easily be spun by critics as a failure."
937052748,yes,0.6436,"This clearly implies a lower future tax burden than $100 billion a year forever, and therefore implies a fall in consumer spending of less than $100 billion per year."
937052903,yes,1,"If we are going to have Japan-type deflation, it obviously won’t happen for quite a while."
937057001,yes,0.6554,"And Clinton’s dogged realism, while it doesn’t inspire the same kind of uplift as Sanders’s promise of change, can be inspiring in its own way."
937056415,yes,0.6531,"If you go to the Conference Board numbers, you find that Finland has indeed seen a rapid rise in ULC, but not because of a wage explosion; it’s all about collapsing manufacturing productivity."
937056501,yes,0.6457,"In fact, given Greece’s starting point, with debt at 170 percent of GDP, the adverse effects of austerity mean that trying to raise the primary surplus by 1 point quickly causes the debt-GDP ratio to rise by 5 points (.03*170)."
937052893,yes,0.669,"The slump would be very prolonged, with an extended period of jobless recovery."
937057231,yes,1,Romney declares with horror that Trump would start a trade war.
937056745,yes,0.6676,"In this case, the BIS not only claims that low interest rates cause financial instability, but goes on to expound a sort of widow’s cruse theory of interest rates, in which low rates today lead to even lower rates tomorrow, because they produce bubbles that weaken the economy further when they burst."
937056041,yes,0.6534,"But Bernanke then goes on, as I understand him, to argue that international capital flows should solve the problem of secular stagnation unless if affects the world as a whole, because capital can seek higher returns abroad; he also argues that the global savings glut is mainly a thing of the past, and that in any case such problems can be addressed mainly by putting pressure on foreign governments to open their capital accounts and stop pursuing policies that promote excessive current account surpluses."
937052228,yes,1,"In any case, I thought it might be useful to re-explain why our current predicament can be thought of as a global excess of desired savings — which means that fiscal deficits won’t drive up interest rates unless they also expand the economy."
937052788,yes,0.6712,"The Ryan plan sharply cuts taxes on top income, yet if you look at the last page you’ll see that tax receipts are supposed to go up by almost $600 billion."
937056571,yes,0.6519,"I don’t watch financial news, but CNBC was on in the gym, so I was treated to a long ad from Ron Paul, who wants you to buy his video explaining the coming crisis brought on by loose money."
937055441,yes,0.6788,"Maybe full employment really is 5.3 percent unemployment, and by the time that’s clear the inflation rate will have ticked up a bit above the Fed’s target."
937055468,yes,0.6857,"It’s more or less standard international macro that with high capital mobility and floating exchange rates, demand shocks in any one country or region will be “shared” with other countries."
937054460,yes,0.6508,"If Greece were to adhere totally to the previous terms, over the next five years it would make resource transfers of about 20 percent of one year’s GDP."
937052474,yes,0.6571,"The Fed can print money, if you increase the supply of something its price will fall, end of story."
937052150,yes,0.6797,But here’s the thing: the estimates appear to be very close to what I’ve been getting.
937056853,yes,0.667,"The thing is that even if that would have worked (which it probably wouldn’t), it was inevitable that others would go the whole way and call for laissez-faire all the way, including monetary policy."
937057383,yes,1,"After the Super Tuesday primaries, Donald Trump will have the most pledged delegates."
937053085,yes,0.6734,"But the debt won’t be paid off all at once — and there’s no reason to expect the family to cut its spending right now by $100,000."
937056489,yes,1,"Instead, it will all be about handling bank panic, managing the transition to a new currency, and possibly removing structural obstacles to increased exports (which would very much include tourism)."
937052073,yes,0.6621,There’s every reason to think that the same thing will happen this time.
937052507,yes,0.6598,"Suppose that the economy is sufficiently depressed that with expected inflation at 3 percent, actual inflation comes out only 1; expectations will actually eventually catch up, so that if the economy remains depressed we’d expect inflation to go to -1; but if the economy remains depressed even longer, we’d expect inflation to go to -3, then -5, and so on."
937057042,yes,0.6654,"But it will also cut imports, which other things equal is expansionary."
937053036,yes,0.6499,"But Matt’s main point is that there are very good reasons why changing relative currency values is a lot easier than changing the whole structure of nominal wages and prices: Depreciation makes vacations in Spain cheap, it makes Spanish exports cheap, and it makes it attractive for rich foreigners to actually go buy up excess Spanish housing stock to use as vacation homes and such."
937053339,yes,1,"It will, however, depress employment even further and inflict a lot of direct suffering too through cuts in social programs."
937056265,yes,0.6487,"First, he argues that we should not only expect but want government to be substantially bigger in the future than it was in the past."
937052208,yes,0.694,"And a rightward shift of the IS curve won’t raise rates unless it’s big enough to push us to full employment, which doesn’t seem likely."
937053665,yes,0.6831,"And you might therefore argue that we can avoid secular stagnation by letting low interest rates lead to a debased dollar (hi, Congressman Ryan!"
937053087,yes,0.6277,"Now notice that this family is very much like the representative household in a Ricardian equivalence economy, reacting to a deficit financed infrastructure project like Lucas’s bridge; in this case the household really does know that today’s spending will reduce its future disposable income."
937057284,yes,1,And this will lead to inflation.
937056959,yes,1,"Beyond the politics, the Sanders “plan” isn’t just lacking in detail; as Ezra Klein notes, it both promises more comprehensive coverage than Medicare or for that matter single-payer systems in other countries, and assumes huge cost savings that are at best unlikely given that kind of generosity."
937052986,yes,0.6747,"Basically, the ECB pooh-poohs any notion that austerity would have major negative effects on the economy, suggests that it’s quite likely that the confidence fairy will make everything OK, and specifically says that Determined action on the part of governments to undertake fiscal and structural reforms is necessary to preserve stability and cohesion in the euro area."
937056980,yes,1,"Actually, I know what will happen on the Republican side: someone horrifying will come in first, and someone horrifying will come in second."
937056373,yes,1,"If a company is thinking about equipping its employees with smartphones that will be antiques in three years, the interest rate isn’t going to have much bearing on its decision; and a lot of business investment is like that, if not quite that extreme."
937054038,yes,1,"The central bank may (or may not, as seems to be true in Russia right now) be able to limit the currency plunge by raising interest rates (now above 13 percent on Russian 10-years), but only at the cost of deepening the recession."
937053229,yes,0.6433,"After the first decade After the first decade, Medicare is gradually transformed into a voucher scheme, with the value of the vouchers lagging well behind projected health care costs."
937052153,yes,0.6863,"They have the plan raising GDP by 3.7 percent, but that’s at peak; I thought 2.5 percent or so average over 2 years, again not much difference."
937057035,yes,0.669,"His proposed 35 percent tariff-like penalties would instigate a trade war and that would raise prices for consumers, kill our export jobs and lead entrepreneurs and businesses of all stripes to flee America."
937054091,yes,0.6718,"And here’s what the Volcker disinflation actually looked like: A temporary but huge surge in unemployment, with inflation coming down to a sustained lower level."
937057041,yes,0.6623,"This will cut exports, which other things equal depresses the economy."
937056398,yes,0.6884,"It would surely be ugly in Greece, at least at first."
937054054,yes,1,"You might think that it’s a fundamental insight that doubling the money supply will eventually double the price level, but what the models actually say is that doubling the current money supply and all future money supplies will double prices."
937053646,yes,0.696,"Second is downward nominal rigidity, which isn’t quite as binding a constraint, but does lead the Phillips curve to be non-vertical in the face of very low inflation; as an IMF study of persistent large output gaps found, even years of a deeply depressed economy tend to produce at most slow, grinding deflation, and more usually slight positive inflation, not the ever-accelerating deflation the standard model would have predicted."
937055316,yes,0.6605,"But they go on to say that the real lower bound comes from the fact that bank deposits are more useful than currency in a safe, because you can write checks and all that."
937052930,yes,1,"That was Keynes’s whole point in The Economic Consequences of Mr. Churchill — not that the return to gold at too high a parity would mean depression forever, but that it would subject Britain to years of unnecessary suffering."
937054877,yes,0.6849,"The dollar is rising a lot, which suggests that markets regard the relative rise in US demand as a fairly long-term phenomenon – which in turn should mean that a lot of the rise in US demand ends up benefiting other countries."
937056502,yes,1,So this might suggest that it would take 5 years of austerity just to get the debt ratio back to where it would have been in the absence of austerity.
937052389,yes,0.6651,"On the contrary, by dumping dollars China would be doing us a favor."
937053635,yes,0.6425,"In monetary policy, two zeroes — the hard zero on interest rates and the soft zero on wage changes — can, all too easily, give central bankers a de facto license to let the economy stagnate, remaining far below potential for an indefinite length of time."
937053746,yes,0.6697,"But, you say, wouldn’t China selling our bonds send interest rates up and depress the U.S. economy?"
937052845,yes,0.6732,"But – you probably guessed where I’m going – what if even a zero rate isn’t low enough; that is, low enough to induce enough dissaving on the part of the Janets to match the savings of the Sams?"
937056238,yes,0.6559,"In effect, European bond markets are flashing a secular stagnation warning."
937053653,yes,0.6707,"Romer’s notes still imply that a protracted liquidity trap should lead to accelerating deflation, which doesn’t seem to happen; I think most of us have turned to downward nominal wage rigidity as an explanation."
937056761,yes,0.669,Cardiff Garcia excerpts a passage in which he explains why we should care about the concentration of wealth at the top: [T]here is a danger that the rapid growth of top incomes can become self-reinforcing through the political access that money can bring.
937053960,yes,0.668,"Finally, there’s the confidence fairy: demand-side economics is valid, but business hates big government so much that any attempt to use fiscal policy will backfire."
937052494,yes,0.6565,But it would be a big mistake to count on monetary policy alone.
937057376,yes,0.6699,"That’s a big subject, but one thing is for sure: given the pressures from abroad, and the worrying strength of the dollar, the Federal Reserve really, really needs to hold off on raising interest rates."
937053356,yes,0.6424,"The point, however, is that it may take a long time — and there’s massive pain along the way."
937052663,yes,1,"And I’m sure that they’ll keep on believing that, for years to come."
937054447,yes,1,Unemployment would fall by around 10 percentage points relative to no relief.
937053192,yes,1,Would Keynesians have been willing to change their views drastically if the experience of the global financial crisis had warranted such a change?
937054466,yes,0.6907,"With Greece running a primary surplus, all new loans — and then some — are going to pay principal and interest on old loans, with less than nothing going to the Greeks."
937055442,yes,0.6663,"But that would not be a large cost, whereas sliding back into the liquidity trap would be very, very costly."
937052594,yes,1,"And this will be destructive; not only will output be below potential, but depressed incomes and deflation will make it harder for the Sams to pay down their debt."
937056707,yes,0.6593,"I think those arguments are wrong — but in any case they have nothing to do with the notion that current rates are somehow artificial, that we should let rates be determined by “supply and demand”."
937055444,yes,0.6379,Matt O’Brien catches a piece by Dick Morris a few years ago predicting that Obama’s legacy would be stagflation.
937054319,yes,0.6902,Suppose that the multiplier is 1.3 — which is what IMF estimates seem to suggest — and that Greece can collect 40 percent of a rise in GDP in revenue (roughly matching its average revenue/GDP).
937053752,yes,0.6735,But that would be good for America!
937056997,yes,0.652,Don’t say there’s nothing there: a propaganda machine that could turn John Kerry into a coward can turn a nice guy from Brooklyn into a monstrously flawed specimen of humanity in no time at all.
937052215,yes,0.6614,"If the government introduces a new program that will spend $100 billion a year forever, then taxes must ultimately go up by the present-value equivalent of $100 billion forever."
937052851,yes,0.6578,"Yes, that will in a way be rewarding their past excesses – but economics is not a morality play."
937053722,yes,0.6872,"As Romer points out in his notes, this can be reinterpreted as an open-economy model if we let capital flows be influenced by the exchange rate (most international econ types tend to think in terms of stocks rather than flows, but it doesn’t really matter here), so that a lower interest rate leads to currency depreciation."
937055583,yes,1,"What the economic logic says, however, is that if that’s really true, the dollar will just keep heading higher until the drag gets less moderate."
937052314,yes,0.6277,"And if we’re facing a Japanese-type lost decade, which seems all too possible, long rates are in fact still unreasonably high."
937056556,yes,0.6752,"So you would expect GDP growth to pick up, other things equal, if there is a slowdown in the pace of tightening even if austerity isn’t actually reversed."
937056946,yes,0.697,"Sanders is still a long shot for the nomination, but is a serious enough contender that he deserves some real scrutiny."
937056725,yes,0.6865,"But it’s an interest group that has a lot of clout among central bankers, because these are people they see every day — and in many cases are people they will become once they go through the revolving door."
937057333,yes,1,"Meanwhile, I think that Trump would be a very weak general election candidate — the conditions that have let him flourish in the GOP are really unique to that party."
937056151,yes,1,But this isn’t right if the weakness in European demand is perceived as temporary (where that could mean a number of years).
937057151,yes,1,"The proximate cause is obvious: policy interest rates are very low, and expected to remain low, so money is pouring into alternative assets, driving their yields down too."
937057347,yes,1,In his stop-Trump speech last week he warned that if The Donald became president America would “sink into prolonged recession.”
937053373,yes,0.6933,If the negative impact of these cuts is fairly large — which all the evidence coming in suggests is the case under current liquidity-trap conditions — and if the country starts from a fairly high level of debt — as the austerity countries do — something alarming is likely to happen.
937056823,yes,0.6596,"You made predictions that Very Serious People scoffed at — that as long as we were at the zero lower bound massive increases in the monetary base wouldn’t be inflationary, that budget deficits would not drive up interest rates — and also predicted large multipliers from fiscal policy, in particular nasty consequences of austerity."
937056508,yes,1,"And it suggests that a 1 point rise in the primary surplus, which requires austerity that causes a 3-point fall in real GDP, will reduce inflation by about 0.7 percentage points (3*0.23)."
937054143,yes,1,I think if you were going to name the two current econoheroes of U.S. liberals they would probably be Joe Stiglitz and yours truly.
937053516,yes,0.6472,"First, his reaction to the fact that even in 2010 it was obvious that markets weren’t performing according to his predictions: This is regrettable, because it is fostering a sense of complacency that can have dire consequences… My analysis can’t be wrong, the markets are just misbehaving!"
937052254,yes,0.6661,"It does NOT crowd out private spending, at least not until the excess supply of savings has been sopped up, which is the same thing as saying not until the economy has escaped from the liquidity trap."
937052850,yes,1,"One answer is inflation, if you can get it, which will do two things: it will make it possible to have a negative real interest rate, and it will in itself erode the debt of the Sams."
937053206,yes,0.6746,"And TPM documents the latest example: President Obama would have this election in the bag, according to a number of leading columnists, if only he would act more like President Obama."
937053795,yes,0.6733,And the only way that could happen was for the currency to depreciate past its long-run value – to overshoot – so that it could be expected to appreciate back to that value over time.
937053084,yes,0.6469,"But the family has also taken on debt, and will presumably spend less because it knows that it has to pay off that debt."
937056244,yes,1,"What this in turn implies is that even if you downplay domestic U.S. weakness and focus on the export of capital from other countries, especially Germany, there’s no good reason to believe that this new version of the global savings glut will end any time soon."
937054871,yes,0.6758,"In case #1, everyone sees the relative strength of US spending as temporary – either they see it as a one-time blip that will go away, or they expect the rest of the world to exhibit a similar surge in demand in the not-too-distant future."
937053717,yes,0.652,"As I’ve written before, I just don’t see how this is supposed to happen in a country with its own currency that doesn’t have a lot of foreign currency debt – especially if the country is currently in a liquidity trap, with monetary policy constrained by the zero lower bound on interest rates."
937052139,yes,0.6605,"Yet even if the plan gets the hoped-for 80 votes in the Senate, which seems doubtful, responsibility for the plan’s perceived failure, if it’s spun that way, will be placed on Democrats."
937054577,yes,1,"Ideals aside, the consequences of playing hardball with Greece over its banks could very easily be immense."
937057019,yes,1,"But it will also cut imports, which other things equal is expansionary."
937054061,yes,1,"(And Ricardian equivalence, for what it’s worth, says that it would have no effect even if you could do it — households would know that future taxes will have to rise to pay for today’s gift, and save all of it.)"
937053143,yes,0.6513,"No wonder, then, that the whole austerity enterprise is spiraling into disaster."
937057385,yes,0.671,Bernie Sanders Will Make the Economy Great Again
937053550,yes,0.6496,"In his “Comments on the critics” (of his Monetary Framework) Friedman described the “London School (really Austrian) view” that the depression was an inevitable result of the prior boom, that it was deepened by the attempts to prevent prices and wages from falling and firms from going bankrupt, that the monetary authorities had brought on the depression by inflationary policies before the crash and had prolonged it by “easy money” policies thereafter; that the only sound policy was to let the depression run its course, bring down money costs, and eliminate weak and unsound firms."
937056794,yes,1,"That is, they believed that reforms could create enough flexibility to mainly neutralize Milton Friedman’s warning that in the face of negative shocks, countries with fixed exchange rates would suffer large costs: If the external changes are deep-seated and persistent, the unemployment produces steady downward pressure on prices and wages, and the adjustment will not have been completed until the deflation has run its sorry course."
937054580,yes,0.6673,"Grexit — the often speculated about, never so far materializing Greek exit from the euro — becomes a very real possibility if European creditors try to exert leverage by taking away the safety net for Greek banks."
937056723,yes,0.6852,"But nobody has ever accused bankers of being especially clear about macroeconomics, and in any case what matters for today’s bank executives is not the long run but the next few years, during which they either will or won’t be getting big bonuses; in the long run they are all full-time golfers."
937054166,yes,0.6607,"I’m very worried that the Fed may be gearing up to raise rates too soon; he’s sanguine, considering the risk of a Japan-type trap in the US minimal and the case for a rate hike this year solid."
937056678,yes,0.669,So you have spectacles like John Kerry and Barack Obama declaring that one big risk from rejecting an Iran deal (which I very much support) would be a threat to the role of the dollar.
937052310,yes,0.6842,"Now, you could and should be worried if this thing looked like a great bubble — if long-term rates looked unreasonably low given the fundamentals."
937054422,yes,1,Unemployment would fall by around 10 percentage points relative to no relief.
937056793,yes,0.6301,"Advocates knew that, to withstand the rigours of a fixed-exchange system that resembles nothing so much as the gold standard, countries would have to adjust to economic shocks through shifts in wages and prices — a course, they believed, that the euro’s members would be forced to take."
937054130,yes,0.677,Another good employment report — and another triumph for future Republican policies (hahahahaha) — and there will be many voices calling on the Fed to accelerate its tightening.
937053633,yes,0.674,"It might do that, or fiscal policy might be forced into action, if the economy really were suffering from accelerating deflation; but instead all you see is low inflation, which might even lead some central bankers to declare that they were doing their job just fine."
937054424,yes,0.6569,But even a partial move in the direction I’ve described could have quite significant positive effects on Greek welfare.
937053766,yes,1,"Estimating the rate of mean-reversion is tricky, but we can more or less sidestep this by looking at long-term expectations: after a decade, we can expect the bulk of any deviation from the norm to be eliminated."
937054751,yes,0.6509,"Not to keep you in suspense, here’s the punchline: the US economy reaps the bulk of the gains from rising demand relative to other countries if and only if that relative rise is perceived by markets as temporary."
937056031,yes,0.6488,"But there’s a substantive difference in views, in which Bernanke correctly, I’d argue, criticizes Summers for insufficient attention to international capital flows – but then argues that once you do allow for international capital movement it obviates many of the secular stagnation concerns, which I believe is wrong."
937056932,yes,1,"Again, I say this as someone who favors single-payer — but it’s just not going to happen anytime soon."
937053338,yes,1,"Shaving an extra couple of points off the structural deficit will make very little difference to long-run solvency, nor will it do much to accelerate the pace of internal devaluation."
937057278,yes,1,"Actually, that’s unlikely — I see no prospect that Japan will put off the tax hike forever."
937056152,yes,0.6628,"For in that case the weakness of the euro will also be seen as temporary: the further it falls, the faster investors will expect it to rise back to a “normal” level in the future."
937053750,yes,1,"And even if Chinese sales somehow put a squeeze on longer maturities, the Fed could just engage in more quantitative easing and buy those bonds up."
937052147,yes,0.68,"Kudos, by the way, to the administration-in-waiting for providing this — it will be a joy to argue policy with an administration that provides comprehensible, honest reports, not case studies in how to lie with statistics."
937056391,yes,0.6566,"The essence of the Greek situation is that the actual parameters of a short-run deal are clear and unavoidable: Greece can’t run a primary budget deficit, because nobody will lend it new money, and it won’t (and basically can’t) run a large primary surplus, because you can’t squeeze even more blood from that stone."
937053658,yes,1,"This meant that we needed more domestic demand, other things equal, to achieve full employment — and arguably that we needed a series of bubbles and rising leverage, which are no longer forthcoming."
937052777,yes,0.6634,"I would say that if it’s right, it’s far from clear that the recovery will prove self-sustaining."
937052471,yes,0.6807,"The question is whether, at the zero bound, the Fed has the ability to increase aggregate demand — full stop."
937056153,yes,1,And this expected appreciation back toward normality will equalize expected returns after a decline in the euro that is well short of being enough to raise the natural rate of interest all the way to its level abroad.
937054443,yes,1,"A relaxation of austerity would run this process in reverse; the extra spending would mean a stronger economy, which means more revenue, which means that the primary surplus wouldn’t fall as much."
937052113,yes,0.6703,"“I suspect that we are coming to the end of this downtrend, as applications for new mortgages, the most important series, have flattened out .."
937057403,yes,0.6624,"Then again, we might be talking about President Trump."
937054423,yes,1,"OK, this is not going to happen — even in the best of circumstances, Syriza is going to be able to get a relaxation of the primary surplus requirement, not complete abrogation."
937053484,yes,0.6841,"Looser monetary policy could help achieve these things, but bear in mind that the ECB, like the Fed, is basically up against the zero lower bound."
937054752,yes,1,"If it’s seen as permanent – if, say, investors see strong US demand but Europe stuck in secular stagnation – we should expect a strong dollar to undo a lot of the gains."
937054458,yes,0.6827,"The question is how much Greece will transfer to its creditors by running primary surpluses — and yes, at this point that’s the question, there’s no possibility that the creditors will transfer more resources to Greece."
937055866,yes,1,"Large budget deficits, which shift GG, won’t raise rates."
937055888,yes,1,"That’s actually why I was predicting a sluggish recovery well in advance, and in fact well before the Reinhart-Rogoff aftermath paper came out."
937052506,yes,1,"But here’s the thing: the inflation-adjusted Phillips curve predicts not just deflation, but accelerating deflation in the face of a really prolonged economic slump."
937052414,yes,0.696,For “most of what would be effective in remedying a depression would be equally effective in preventing this adjustment.” And Hayek found it …still more difficult to see what lasting good effects can come from credit expansion.
937052224,yes,0.6668,"Niall Ferguson “explaining” that fiscal expansion will actually be contractionary, because it will drive up interest rates."
937056048,yes,1,"You might think not: as long as there are positive-return investments abroad, capital will flow out."
937056456,yes,0.6681,"And not incidentally, you might think that the debacle in Kansas would finally kill any notion that conservatives know the secrets of rapid growth."
937053086,yes,1,"Its annual mortgage payment will be something like $6,000, so maybe you would expect a fall in spending by $6000; that offsets only a small fraction of the debt-financed purchase."
937053058,yes,1,"Ricardian equivalence says that what determines consumption is the lifetime present value of after-tax income, and hence that, say, a temporary tax cut won’t stimulate spending, because people will figure that whatever they gain now will be offset by higher taxes later."
937056889,yes,1,"and Trump are proposing cuts that would do more fiscal damage than anything W enacted, with the following estimates of the 10-year increase in debt as a percentage of GDP: W: 18.2 Jeb: 28.2 Trump: 39.2 To get a picture of distribution, here’s the change in after-tax income for the middle quintile, the top 1 percent, and the top 0.1 percent: So the current crop of candidates, even the supposedly moderate ones, are proposing to blow a bigger hole in the budget than W ever did, and use the extra debt to do even more to increase inequality."
937055609,yes,0.6702,"A better model might be Europe’s Single Market Act, which the European Commission now estimates added 1.8 percent to real incomes; but Eichengreen and Boltho suggest that about half of that reflects policy changes that would have happened anyway."
937052520,yes,1,"Second, it offers a reason — above and beyond concerns about the zero lower bound — to target a significantly positive inflation rate: at low inflation, more prices and wages will “want” to fall, but be blocked by downward rigidity; so even in the long run, the Phillips curve isn’t vertical at low inflation, and you can get permanently lower unemployment by accepting, say, 4 percent inflation rather than insisting on stable prices."
937054093,yes,0.6436,"On the contrary, they were feeling pretty smug: disinflation had played out exactly the way the models in their textbooks said it should."
937052370,yes,0.6842,"What this tells us is that inflation tends to be self-perpetuating, unless there’s a big excess of either supply or demand."
937052429,yes,0.6668,That credibility could be meaningfully undermined if we were to take actions that were unlikely to yield clear and significant benefits.
