label,sentence
0,"Oh, and the model also said positive things about fiscal policy — actually, a multiplier of one even with full Ricardian equivalence, although I bobbled that in the original paper, because I didn't use the model carefully enough."
0,That was definitely not what I was looking for at the time.
0,"And it seems to me that the worldview I reached after going through that process stood me in very good stead after 2008, when we all turned Japanese, and the predictions of that kind of model about inflation and deficit spending were vastly more accurate than the scare stories so popular on CNBC etc… It was kind of funny if annoying to have right-wingers insisting that all this Keynesian analysis people like me were doing was just an attempt to invent reasons for government spending; actually it came out of an attempt to show that this spending *wasn't* necessary, but the discipline of modeling led me to revise my views."
0,Am I always and everywhere innocent of motivated reasoning?
0,"Surely not — no saint, me."
0,But I try to fight it.
0,And I have no patience for people who are eager to assume that what they want to believe is true.
0,"Thank you, Boris Johnson."
0,"You've finally given me the moral courage to weigh in on a subject I've been avoiding: Brexit, Britain's possible exit from the European Union."
0,"It's not as easy a case as I'd like – but Johnson's intervention makes it clear: Britain should stay in, lest it empower people like him."
0,Let me start with the economics.
0,"There are a number of estimates of the economic impact of Brexit out there, from HM Treasury and independent analysts, but I like to have a quick-and-dirty calculation I understand; it's not out of line with other, more detailed results."
0,"Here it goes: before it joined the EU, Britain did only about a third of its trade with Europe."
0,"Now it's about half, and it's unlikely that much of that represents trade diversion."
0,So unless Britain can negotiate something that looks like Norway's deal – which would basically mean accepting EU policies in which it would no longer have a voice – we might expect Brexit to reduce the share of trade in British GDP from about 30 percent to about 25 percent.
0,What's that worth?
0,"I've previously used the elegant Eaton-Kortum trade analysis as a benchmark for assessing globalization; it tells us that real income, for given technology, is (1-trade share)^(-1/theta), where theta is a parameter reflecting how much comparative advantage there is in the world (don't ask)."
0,Eaton-Kortum suggest theta=4 fits best.
0,"In that case, Brexit would reduce British real income by 1.7 percent."
0,"Call it 2 percent, with the understanding that there are big error margins around all of this."
0,"Should we, as some argue, multiply this by two or more to reflect dynamic gains?"
0,"In general, I'm not fond of this practice – it smacks way too much of 101 boosterism, deriving a policy argument from basic economic models then invoking factors not in the models to make the argument seem much stronger than it is."
0,Why tout the dynamic effects of trade as opposed to lots of other things?
0,But 2 percent is a lot!
1,"It's very, very hard to come up with policies that will make a country 2 percent richer in perpetuity."
0,You'd have to have very good reasons to leave the EU to be willing to make that big a sacrifice.
0,"What about income distribution, which is a big issue in many trade agreements?"
0,"In this case, it's pretty much irrelevant: the EU is, on average, comparable in wages and per capita income to the UK, with much of the trade intraindustry specialization that has little distributional effect."
0,So Trumpsandersism shouldn't matter here.
0,So what's this all about?
0,"In a word, governance."
0,"The case for Brexit is, basically, that EU membership ties Britain to a very badly run institution."
0,"And that case is, unfortunately, reasonably strong."
0,"Eurocrats have a lot to answer for: the huge mistake of the euro, the reckless and feckless promotion of austerity, the hapless response to the refugee crisis and in general the failure to take seriously the strains of internal migration."
0,"Oh, and Europe has been largely useless in dealing with the destruction of democracy in Hungary."
0,"But to point to the EU's failings as a reason to leave is, as George Stigler used to say, giving the prize in a singing contest to the second contestant because you've heard the first."
1,"If Britain does leave the EU, and escapes the grip of the Eurocrats, who will it be empowering instead?"
0,You sometimes hear people saying that the attitudes and character of the pro-Brexit forces are not a valid argument for staying in.
0,"But that's wrong: asking who would call the shots afterwards, who would be strengthened, is extremely relevant."
0,And that's where Boris Johnson's tirade against President Obama is so wonderfully clarifying.
0,"It tells us who the anti-EU wing of the Conservatives really are; it tells us not just that they are pretty close to UKIP, but that intellectually and emotionally they live in the same fever swamps as the American right."
0,"And they would, all too probably, take on a strong, even dominant role in British politics post-Brexit."
0,"So Britain, don't do this."
0,"You would pay a fairly large economic price, and in return you would get governance so bad that it would make the EU look good."
0,"The Democratic primary is essentially over, although the Sanders campaign is still fundraising off naive supporters by claiming that it has a real shot."
1,"But the controversies will live on, for a while at least."
0,"Among these controversies, the debate over economic analysis is probably well down the list of importance; but it's obviously one that I care about."
0,And I see that Pro Growth Liberal is complaining about Gerald Friedman's latest attempt to defend his estimates for growth from the Sanders program.
0,"The history, for those who weren't paying attention, is that Friedman produced huge numbers that were hard to understand on both the demand and the supply side."
0,"Initially, he didn't claim to be doing anything especially new — on the contrary, he and his defenders claimed that they were doing standard Keynesian economics — apparently unaware that they were doing no such thing."
0,"Only after this was pointed out did they turn to declaring that the standard analysis was all wrong, and that Keynesians like Christina and David Romer are really just neoclassical types."
0,"For those of us who participated in the austerity debates, that's pretty amazing and disheartening."
0,Remember when Robert Lucas accused Christy Romer of corruptly producing “schlock economics” to justify government spending?
0,Remember the long fight against the doctrine of expansionary austerity and the mythical cliff at 90 percent debt?
0,"There was a huge division between Keynesians and anti-Keynesians, in which people like the Romers faced a torrent of abuse from the right."
0,"And there has also been a huge intellectual vindication, with interest rates, inflation, and output looking much more like Keynesian predictions than like what those on the right were predicting."
1,"Oh, and on the issue where Lucas accused Romer of corruption: her estimate of a multiplier of 1.5 turns out to be very close to the numbers most researchers have found in the aftermath of the disastrous turn to austerity."
0,"But now any skepticism about claims that multipliers are vastly higher than that, and that there are no supply constraints preventing the U.S. economy from growing 4.5 percent for the next decade, makes you no different from the inflation and debt fear mongers of the right."
0,"The way to think about this, I'd say, is that it's the economics nerd equivalent of Susan Sarandon dismissing Hillary Clinton as “the best Republican out there.” Anyone who tells you that you can't get everything you want, in economics or politics, is just evil and useless."
1,"Will this attitude persist as we enter an election in which the choice is between Clinton and Trump or Cruz, between Romer-type economics and Ayn Randism?"
0,We'll see.
0,I see that @drvox is writing a big piece on carbon pricing – and agonizing over length and time.
0,"I don't want to step on his forthcoming message, but what he's said so far helped crystallize something I've meant to write about for a while, a phenomenon I'll call “101 boosterism.” The name is a takeoff on Noah Smith's clever writing about “101ism”, in which economics writers present Econ 101 stuff about supply, demand, and how great markets are as gospel, ignoring the many ways in which economists have learned to qualify those conclusions in the face of market imperfections."
0,"His point is that while Econ 101 can be a very useful guide, it is sometimes (often) misleading when applied to the real world."
0,"My point is somewhat different: even when Econ 101 is right, that doesn't always mean that it's important – certainly not that it's the most important thing about a situation."
0,"In particular, economists may delight in talking about issues where 101 refutes naïve intuition, but that doesn't at all mean that these are the crucial policy issues we face."
0,The example I think of most is in my original home field of international trade.
0,"Comparative advantage says that countries are made richer by international trade, even if one trading partner is more productive than the other across the board, and the less productive country can only export thanks to low wages."
0,Paul Samuelson once declared this the prime example of an economic insight that is true without being obvious – and to this day you get furious attempts to refute the concept.
0,"So comparative advantage has, for generations, been considered one of the crown jewels of economic analysis."
0,"Now, there are a variety of reasons why, despite this big insight, free trade may not be the right policy – that's Noah's 101ism."
0,"But I want to make a different point: even if comparative advantage is a profound insight, does this make free trade versus protectionism a front-burner issue?"
0,"How important is this insight, anyway?"
0,"And the answer – the answer that comes from standard trade models – is, not as important as many people seem to think."
0,"Yes, protectionism reduces world income."
0,"But if you want to make the case that trade liberalization has been the principal driver of growth, or anything along those lines, well, the models don't say that."
0,"If you want enormous benefits to trade, you have to invoke things like technology transfer that aren't in the very analysis that gives the case for free trade such prestige."
0,"In fact, you see a lot of that."
0,"There's a kind of bait and switch, in which people invoke Ricardo and the gains from trade to say “free trade good”, then tell scare stories about how protectionism would destroy millions of jobs and cause a global depression, which doesn't make much sense – and in any case has nothing to do with the classical analysis of the gains from trade."
0,It seems to me that there's something similar involved in discussions of carbon pricing.
0,"Econ 101 tells us that if you want to reduce emissions of a pollutant, the most efficient way to do that is to put a price on emissions, so that all possible routes to reduction are taken, and the marginal cost is the same for all routes."
0,"It's a real insight, and has had positive impacts on real-world policy — cap-and-trade has worked very well at reducing acid rain."
0,"That said, there are reasons Econ 101 may not be right here."
1,"There is some evidence that consumers aren't hyper rational when it comes to conservation, that they may pass up conservation opportunities even when it would save them money — and in that case rule rather than prices may be the right way to make them change."
0,"And to the extent that we're talking about innovation, the Econ 101 case says nothing at all: the efficiency case for carbon pricing is about making best use of existing technology, not about providing incentives to develop better technology."
0,"But leave all that aside, and ask: how *important* is it that our carbon-emissions strategy take the form of a universal or near-universal price on carbon?"
0,"The answer, in principle, is that it depends on the complexity of the required response."
0,"If reducing emissions really has to involve moving on many fronts, anything that looks like an administrative solution — telling, say, power companies what to do or not to do — is going to be much more costly than carbon pricing that exploits all the possibilities."
0,But if a large part of the solution is going to involve a fairly limited set of measures — such as putting a quick end to the practice of burning coal to generate electricity — getting to broad-based carbon pricing is much less central.
0,And what I gather from reading various analyses of our prospects is that we're closer to case #2 than to case #1: the problem of limiting climate change isn't all that complex.
0,End coal-burning and you've gone a significant way; a few other big things get you another substantial part of the way.
0,"Yes, comprehensive carbon pricing would be best, but it's not the sine qua non of effective action."
0,"The point is that just because Econ 101 makes a smart, counterintuitive point doesn't make that point of central importance, here or elsewhere."
0,"People should know what's in the textbook; above all, they should buy my book!"
0,But never imagine that it's the be-all and end-all of what matters.
0,"Today's column offers an opportunity to say, for the record, why I haven't been the Bernie booster a lot of people apparently expected me to be."
0,"For the business about discounting Clinton support as coming from “conservative states” in the “Deep South” actually exemplifies the problem I saw in the Sanders campaign from the beginning, and made me distrust both the movement and the man."
0,"What you see, on this as on multiple issues, is the casual adoption, with no visible effort to check the premises, of a story line that sounds good."
1,It's all about the big banks; single-payer is there for the taking if only we want it; government spending will yield huge payoffs — not the more modest payoffs conventional Keynesian analysis suggests; Republican support will vanish if we take on corporate media.
0,"In each case the story runs into big trouble if you do a bit of homework; if not completely wrong, it needs a lot of qualification."
0,"But the all-purpose response to anyone who raises questions is that she or he is a member of the establishment, personally corrupt, etc.."
0,"Ad hominem attacks aren't a final line of defense, they're argument #1."
0,"I know some people think that I'm obsessing over trivial policy details, but they're missing the point."
0,"It's about an attitude, the sense that righteousness excuses you from the need for hard thinking and that any questioning of the righteous is treason to the cause."
0,"When you see Sanders supporters going over the top about “corporate whores” and such, you're not seeing a mysterious intrusion of bad behavior into an idealistic movement; you're seeing the intolerance that was always just under the surface of the movement, right from the start."
0,Does Clinton have problems too?
0,"Of course — she's been too cozy with established interests in the past, she shouldn't have given those speeches, and of course she shouldn't have voted for the Iraq War."
0,"But there is no evidence that she's corrupt, and lots of evidence that she both thinks hard about issues and is willing to revise her views in the light of facts and experience."
0,Those are important virtues — important *progressive* virtues — that seem woefully absent on the other side of the primary.
0,But never mind.
0,"As you know, I'm only saying these things because I'm a corporate whore and want a job with Hillary."
0,"I talked at the Council for European Studies conference in Philly last night, and was surprised by one aspect of the discussion."
0,"As you might expect if you're into these things, my take on the euro was strongly informed by the theory of Optimum Currency Areas; I expected pushback."
0,"But I didn't realize how many people now seem to believe that real exchange rates don't matter for adjustment — that is, that even internal devaluation (downward adjustment of prices and wages relative to trading partners) isn't necessary in the aftermath of unsustainable capital inflows."
0,"It turns out, however, that we're seeing a significant revival of the “elasticity pessimism” widely prevalent during the post World War II “dollar shortage”."
0,"This was the belief that trade flows barely respond to price signals, and hence that devaluations don't help alleviate imbalances."
0,"Now as then, the argument rests in large part on specific cases where large changes in relative prices don't seem to have produced large changes in trade (Greece's lagging exports), or conversely, where large changes in trade seem to have happened without large changes in relative prices (Spain's export recovery, maybe)."
0,"The difference is that in the late 1940s this kind of argument was deployed in support of more government intervention — keep those exchange controls in place, because devaluation won't work — whereas now it's being deployed as an argument against activism — never mind the euro, it's all rigidities that must be cured with structural reform."
0,"But while the purposes may be different, the substantive issues remain."
0,What is the case against elasticity pessimism?
0,I guess I'd offer several answers.
0,"First, it's worth thinking about where those big external imbalances came from."
0,"Big capital flows to the European periphery led to inflation and rising real exchange rates, and this was associated with huge trade imbalances."
0,"How did that happen, if real exchange rates don't matter?"
0,"Second, my sense is that at least some analyses aren't taking sufficient account of cyclical factors."
0,"Devaluation that takes place along with an economic recovery may not be associated with a falling trade deficit, because rising demand is offsetting improved competitiveness — I think this is relevant for Iceland."
0,Also important for understanding why sudden stops produce large import contractions even under fixed rates.
0,"Third, there are lots of other factors, so you have to avoid picking and choosing your stories too much."
0,"One way to do this may be to do what one recent IMF study did: focus only on large real exchange rate changes, estimate elasticities for lots of countries, and pool the results."
0,"The result is to diminish the noise, both by eliminating small fluctuations that may be statistical illusions and by exploiting the power of large numbers."
0,"Beyond all this, however, we probably need to revisit the classic 1950 Orcutt analysis of likely biases in estimates of trade response to prices."
0,"I guess I'm showing a strong preconception here — that done right, analysis will show that trade elasticities remain fairly large."
0,"Certainly willing to be proved wrong — but we need to do this carefully, because it's really important for future policy."
0,Low oil prices were supposed to be a big boost for the world economy; but it didn't happen.
0,"Maury Obstfeld, my long-time textbook co-author and now chief economist at the IMF, offers an interesting argument about why: he suggests that it's because of the zero lower bound."
0,"Falling oil leads to falling inflation expectations, and since interest rates can't fall, real rates go up, hurting recovery."
0,"Matt O'Brien is skeptical, and so am I — even though I am very much in favor of rethinking our usual assumptions when the economy is at the ZLB."
0,"First, a priori, falling oil prices shouldn't affect expectations for the rate of inflation of non-oil goods and services, or at least it's not obvious that it should — and that's the inflation rate that should matter for investment."
0,"Still, you could argue that oil is in fact driving those expectations, whether it should or not."
0,What Matt does is question whether correlation is causation.
0,"I'd make another point: even using market expectations, real interest rates have in fact gone down, not up, in the face of falling oil prices: How is this possible, given the zero lower bound?"
0,"It's all about the term structure: long-term rates aren't at zero, although they're at least somewhat supported by the floor on short-term rates."
0,"And as it turns out, during the recent oil crash long-term rates fell enough to more than offset the decline in expected inflation."
0,"Of course, Maury could be right in an other things equal sense."
0,"But my guess is that the oil-price disappointment comes less from expectational channels than from two facts: oil is now a big driver of investment, via shale, and oil exporters are actually cash-constrained these days, with an arguably *higher* marginal propensity to spend than oil consumers."
0,"Anyway, interesting stuff."
0,"Brad DeLong asks why monetarism — broadly defined as the view that monetary policy can and should be used to stabilize economies — has more or less disappeared from the scene, both intellectually and politically."
0,"As it happens, I wrote about essentially the same question back in 2010, inspired by the more or less hysterical pushback against quantitative easing."
0,"I thought then and think now that this was fated to happen, that Milton Friedman's project was always doomed to failure."
0,"To repeat the key points of my argument: On the intellectual side, the “neoclassical synthesis” — of which Friedman-style monetarism was essentially part, despite his occasional efforts to make it seem completely different — was inherently an awkward construct."
0,"Economists were urged to build everything from “micro foundations” — which was taken to mean perfect rationality and clearing markets, not realistic descriptions of individual behavior."
0,"But to get a macro picture that looked anything like the real world, and which justified monetary activism, you needed to assume that for some reason wages and prices were slow to adjust."
0,"Inevitably the drive for purism collided with the realistic accommodations, the ad hockery, needed to be useful; sure enough, half the macroeconomics profession basically said, “what are you going to believe, our models or your lying eyes?” and abandoned any good sense Friedman had originally brought to the subject."
0,"On the political side, there was a similar collision."
0,"Right-wingers insisted — Friedman taught them to insist — that government intervention was always bad, always made things worse."
0,"Monetarism added the clause, “except for monetary expansion to fight recessions.” Sooner or later gold bugs and Austrians, with their pure message, were going to write that escape clause out of the acceptable doctrine."
0,"So we have the most likely non-Trump GOP nominee calling for a gold standard, and the chairman of Ways and Means demanding that the Fed abandon its concerns about unemployment and focus only on controlling the never-materializing threat of inflation."
0,"What about the reformicons, who pushed for neo-monetarism?"
0,We can sum up their fate in two words: Marco Rubio.
0,There is no home for the kind of return to realism they were seeking.
0,"The point is that the monetarist idea no longer serves any useful purpose, intellectually or politically."
0,Hicksian macro — IS-LM or something like it — remains an extremely useful tool of both analysis and policy formulation; that tool is not helped by trying to state it in terms of monetary velocity and all that.
0,"And if you want macro policy that isn't dictated by Ayn Rand logic, you have to turn to a Democrat; on the other side, there's nobody rational to talk to."
0,Sad!
0,"Hype springs eternal — certainly when it comes to Paul Ryan, whose media image as a Serious, Honest Conservative and policy wonk seems utterly impervious to repeated demonstrations that he is neither serious nor honest, and that he actually knows very little about policy."
0,And here we go again.
1,But what really amazes me about the latest set of stories is the promise that Ryan will finally deliver the Republican Obamacare alternative that his colleagues in Congress have somehow failed to produce after all these years.
0,"No, he won't — because there is no alternative."
0,Or maybe I should say that there is no alternative to the right.
0,Alternatives to the left do exist.
0,"True socialized medicine — an American NHS — would be feasible economically; so would single-payer, in the form of Medicare for all."
0,The reasons we aren't doing those are political.
0,"But on the right, is there a more free-market, more privatized system that could replace the Affordable Care Act without causing the number of uninsured to soar?"
0,"No, as some of us have tried to explain many times."
0,Once again: a useful starting point is the problem of people with pre-existing conditions.
0,How can they be offered affordable insurance?
0,You can prohibit insurers from discriminating on the basis of medical history — community rating.
1,"But if that's all you do, only sicker people will sign up; many will wait until they get sick to buy insurance; and so costs will be high due to a bad risk pool."
0,"So non-discrimination must be combined with an individual mandate, the requirement that everyone get insurance."
0,But what about people who can't afford it?
0,"There must be subsidies to lower-income families, so that they can."
0,"What you end up with, then, is community rating + individual mandate + subsidies — that is, with Obamacare."
0,"There's nothing arbitrary about it, and you can't pick and choose from the elements: it's a three-legged stool that needs all three legs to stand."
0,"And it can't be made cheaper, either — the subsidies are already on the low end, requiring that the allowed policies can involve higher deductibles than they really should."
0,"And all this, in turn, is the reason Republicans haven't come up with an alternative."
0,"It's not because they're timid, or lazy, or stupid (they may be all these things, but that's not why they've come up short)."
0,It's because there is no alternative that wouldn't involve taking coverage away from tens of millions.
1,"So no, Ryan isn't going to roll out a magical solution to this problem in the next couple of months."
0,"Even if he were the policy wonk he pretends to be, he couldn't do the impossible."
0,I've written on a number of occasions about the Veg-O-Matic temptation — the urge to claim that your preferred policy solves all problems — it slices!
0,It dices!
0,It purees!
0,It creates jobs!
0,It raises productivity!
0,It takes off weight without diet or exercise!
0,"There's also the reverse version, in which a policy you dislike does everything bad — It's inflationary!"
0,It's contractionary!
0,It causes acne!
0,"When you see Veg-O-Matic claims, you should always be suspicious."
0,"Sometimes a policy does kill two or more birds with one stone — there's a very good case that infrastructure investment under current conditions, with interest rates very low and economies still under capacity, would create jobs now, enhance long-run growth, and even improve fiscal prospects."
0,But conclusions like that shouldn't be accepted without a lot of hard thinking and self-criticism; you need to bend over backward to avoid falling into wishful thinking.
1,"That consideration in itself should have flashed warning signs about, to take one important example, the embrace by Very Serious People of the doctrine of expansionary austerity — it was all too obvious that the austerians wanted a reason to cut government spending, and they should have been extremely wary of studies purporting to say that doing so would actually create jobs in a depressed economy."
0,The fact that they instead seized on those studies was a very bad sign.
0,"In modern America Veg-O-Matic economics has tended to be a right-wing thing, for a couple of reasons."
0,"One is that if your party's central mission is to comfort the comfortable and afflict the afflicted, you need to claim that all kinds of wonderful side effects will take place from what might otherwise look like a combination of greed and cruelty."
0,"Another is that the parties are different; the monolithic GOP has, until just now, been able to get all its followers declaring that we're at war with Eurasia, or Eastasia, with no awkward challenges from independent-minded wonks."
0,"The Democrats are a coalition in which the wonks have a fair bit of autonomy, and at least believe that they have a professional ethos to uphold."
0,"That said, the Veg-O-Matic temptation exists for everyone."
0,"Yes, we see some of it in the populist uprising within the Democratic party, where anyone questioning the happy talk can be dismissed as a corrupt tool of the corporations."
0,But the big example of Veg-O-Matic reasoning I see right now — in this case the anti-VOM version — is coming in what we might call the mainstream critique of Donald Trump.
0,"I come here not to praise Trump — God no — and would be happy to see his political ambitions buried, with maximum ignominy."
0,He would destroy American civil society; destroy our hopes of containing climate change; destroy U.S. influence by trying to bully everyone in sight.
0,It's very scary that there's any chance that he might end up with his (long) finger on the button.
0,But too many anti-Trump critics seem to have settled on one critique that happens not to be right: the claim that a turn to protectionism would cause vast job losses.
0,"Sorry, that's just not a claim justified by either theory or history."
0,"Protectionism reduces world exports, but it also reduces world imports, so that the effect on overall demand is a wash; textbook economic models just don't say what conventional wisdom is asserting here."
0,History doesn't support this line of attack either.
0,"Protection in the 1930s was a result, not a cause, of the depression; the early postwar years, when tariffs were still high and exchange controls were pervasive, were marked by very full employment in many countries."
0,"Why, then, focus on such a weak argument against a truly despicable candidate?"
0,"I think I know the answer: it's an argument that doesn't involve taking on bad things in the Trump agenda that differ from the agenda of other Republicans only in degree — as Matt O'Brien says, on tax policy Trump is just Paul Ryan on steroids."
0,"But bad arguments are bad arguments, even if used against a bad guy."
0,And the choice of this argument is telling us something about what's wrong with a lot of people beyond Trump.
0,"On economics, that is."
0,"On other issues — well, who was worse, Mussolini or Torquemada?"
0,"Decisions, decisions."
0,"But on economics, Trump is a big protectionist, while Cruz is a devotee of the gold standard."
0,And we know quite a lot about what these policies would do.
0,"Protectionism makes economies less efficient, but it does not, in general, destroy jobs."
1,Put a tariff on imports and people will spend less on imports — but they will normally spend more on other things instead.
0,"So a worldwide turn toward protectionism would both reduce everyone's exports and reduce their imports, with the overall effect on spending and hence on employment more or less a wash."
0,"Yes, I know there's a Moody's study claiming that Trumponomics would be a yuuge job destroyer, but I really don't know where they got that result; the best guess seems to be that they're assuming that former spending on imports just goes away, which is not a good assumption."
0,"And no, protectionism didn't cause the Great Depression."
0,"It was a consequence, not a cause — and much less severe in countries that had the good sense to leave the gold standard."
0,"Which brings us to Cruz, who is enthusiastic about the gold standard — which did play a major role in spreading the Depression."
0,"The problem with gold is, first of all, that it removes flexibility."
0,"Given an adverse shock to demand, it rules out any offsetting loosening of monetary policy."
0,"Worse, relying on gold can easily have the effect of forcing a tightening of monetary policy at precisely the wrong moment."
0,"In a crisis, people get worried about banks and seek cash, increasing the demand for monetary base — but you can't expand the monetary base to meet this demand, because it's tied to gold."
0,"On top of that, a slump drives interest rates down, increasing the demand for real assets perceived as safe — like gold — which is why gold prices rose after the 2008 crisis."
0,"But if you're on a gold standard, nominal gold prices can't rise; the only way real prices can rise is a fall in the prices of everything else."
0,"Hello, deflation!"
0,"So on economics, again, Trump is ignorant and unpredictable — but Cruz knows what isn't so, and would lead us to predictably dire results."
